KEY ÚNICA,Sistema,Char,Status,Worker,Status,Servidor,Mainchar:,Servidor do main:
82b9ed76-6f14-4b73-95ac-db23167127d749,aceitar,Enzareth,Concluido,Worker-Belaria,Processado,Belaria,Enzo Shellpatrocina,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d750,invite,Horok,Concluido,Worker-Auroria,Processado,Auroria,Horok,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d751,invite,Druida Mata Rindo,Concluido,Worker-Auroria,Processado,Auroria,Interrogante Cyrostore,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d752,invite,Druida Mata Rindo,Concluido,Worker-Auroria,Processado,Auroria,Interrogante Cyrostore,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d753,invite,Pariah,Concluido,Worker-Auroria,Processado,Auroria,Isaac the conqueror ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d754,invite,Pariah,Concluido,Worker-Auroria,Processado,Auroria,Isaac the conqueror ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d755,invite,Pena Azull,Concluido,Worker-Auroria,Processado,Auroria,King Luantrs,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d756,invite,Pena Azull,Concluido,Worker-Auroria,Processado,Auroria,King Luantrs,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d757,invite,Pena Azull,Concluido,Worker-Auroria,Processado,Auroria,King Luantrs,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d758,invite,Pena Azull,Concluido,Worker-Auroria,Processado,Auroria,King Luantrs,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d759,invite,Pena Azull,Concluido,Worker-Auroria,Processado,Auroria,King Luantrs,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d760,invite,Pena Azull,Concluido,Worker-Auroria,Processado,Auroria,King Luantrs,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d761,invite,Grimorianita,Concluido,Worker-Auroria,Processado,Auroria,Leodois,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d762,aceitar,Attax Retro,Concluido,Worker-Bellum,Processado,Bellum,Attax Retro,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d763,aceitar,Calabrezoo,Concluido,Worker-Bellum,Processado,Bellum,Gitano Strikerx,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d764,aceitar,So pego gorda,Concluido,Worker-Bellum,Processado,Bellum,Sully Saagaz,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d765,aceitar,Tuza Isback,Concluido,Worker-Bellum,Processado,Bellum,Laida,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d766,aceitar,Suczera Curador,Concluido,Worker-Bellum,Processado,Bellum,Lilith the Sorc ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d767,aceitar,Morador de Okolnir,Concluido,Worker-Bellum,Processado,Bellum,Lilith the Sorc,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d768,aceitar,Melhor jungler brasil,Concluido,Worker-Bellum,Processado,Bellum,Shadowziin kdiq,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d769,aceitar,Pepee ,Concluido,Worker-Bellum,Processado,Bellum,Dark of,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d770,aceitar,Bateu tomou,Concluido,Worker-Bellum,Processado,Bellum,Shadowziin kdiq,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d771,aceitar,Rodney Spectrum,Concluido,Worker-Bellum,Processado,Bellum,Pe Drin Ereeiantes,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d772,aceitar,Pe Drin Naoseipq,Concluido,Worker-Bellum,Processado,Bellum,Pe Drin Ereeiantes,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d773,aceitar,Toka terror bellum,Concluido,Worker-Bellum,Processado,Bellum,Toka terror,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d1659,invite,Calma Aioria,Concluido,Worker-Auroria,Processado,Auroria,Calma Por Favor,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d775,aceitar,Atribulador de HUNT second,Concluido,Worker-Bellum,Processado,Bellum,Oknight asso,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d776,aceitar,Xurupita Bellum,Concluido,Worker-Bellum,Processado,Bellum,Archer Arrow,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d1660,invite,Ribas neutrinho,Concluido,Worker-Auroria,Processado,Auroria,Oknight asso ,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d778,aceitar,Mohudhy,Concluido,Worker-Bellum,Processado,Bellum,Lipe Urbanpatrocina,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d779,aceitar,Geniio Max,Concluido,Worker-Bellum,Processado,Bellum,Old reed,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d780,aceitar,Loider,Concluido,Worker-Bellum,Processado,Bellum,Green Hat,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d781,aceitar,charlie mix bellum,Concluido,Worker-Bellum,Processado,Bellum,charlie mix,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d782,aceitar,Cronos nueve seis,Concluido,Worker-Bellum,Processado,Bellum,Lord Cuscuz,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d783,aceitar,Quasee Deeuu,Concluido,Worker-Bellum,Processado,Bellum,Catador de Yayas,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d784,aceitar,Otto on bellum,Concluido,Worker-Bellum,Processado,Bellum,Otto Lara,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d785,aceitar,Meta Bellum,Concluido,Worker-Bellum,Processado,Bellum,Demonarkk,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d786,aceitar,Ottin Marcha Lenta,Concluido,Worker-Bellum,Processado,Bellum,Otto Lara,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d1661,invite,Lee Xei Ro,Concluido,Worker-Auroria,Processado,Auroria,Jiuston teja,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d788,aceitar,Edentro,Concluido,Worker-Bellum,Processado,Bellum,Rhirin Orios on Rubinot,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d1662,invite,Letsbora,Concluido,Worker-Auroria,Processado,Auroria,SKELTH IMPROVED,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d790,aceitar,Mara Maraisa,Concluido,Worker-Bellum,Processado,Bellum,Queridinho Do Chefe,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d791,aceitar,Souza Quentao,Concluido,Worker-Bellum,Processado,Bellum,Paragon Pro,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d792,aceitar,Darwinho,Concluido,Worker-Bellum,Processado,Bellum,Charles Darwin,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d793,aceitar,Mago Boombaxx,Concluido,Worker-Bellum,Processado,Bellum,Natan Catarina ,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d794,aceitar,Vinizt Bellum,Concluido,Worker-Bellum,Processado,Bellum,Vinizt,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d795,aceitar,Babuzim,Concluido,Worker-Bellum,Processado,Bellum,Babuzim,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d796,aceitar,Laranja de Raul,Concluido,Worker-Bellum,Processado,Bellum,Braboerim on rubinot,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d797,aceitar,El mantecoso,Concluido,Worker-Bellum,Processado,Bellum,Braboerim on rubinot,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d798,aceitar,Yugi San,Concluido,Worker-Bellum,Processado,Bellum,kaybarushback,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d799,aceitar,Anel,Concluido,Worker-Bellum,Processado,Bellum,Royal looter,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d800,aceitar,Babuzim,Concluido,Worker-Bellum,Processado,Bellum,Babuzim,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d801,aceitar,Hicorex,Concluido,Worker-Bellum,Processado,Bellum,Hicorex,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d802,aceitar,Hikivax,Concluido,Worker-Bellum,Processado,Bellum,Ultra returns ,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d803,aceitar,Cronos nueve seis,Concluido,Worker-Bellum,Processado,Bellum,Lord Cuscuz,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d804,aceitar,Kiing Forest,Concluido,Worker-Bellum,Processado,Bellum,Returned Xaullin,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d805,aceitar,Druida Kings,Concluido,Worker-Bellum,Processado,Bellum,Babuzim,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d806,aceitar,Lukaao Pvpking,Concluido,Worker-Bellum,Processado,Bellum,Payne Megazord,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d807,aceitar,Lambari Analista,Concluido,Worker-Bellum,Processado,Bellum,Lambari Analista,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d808,aceitar,Super Tuuxao,Concluido,Worker-Bellum,Processado,Bellum,Super Tuuxao,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d1663,invite,Lord Aiden,Concluido,Worker-Auroria,Processado,Auroria,Bullseyesz Nikity,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d1664,invite,Nya Fullbomb,Concluido,Worker-Auroria,Processado,Auroria,Bullseyesz Nikity,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d811,aceitar,Lambe Sedinha,Concluido,Worker-Bellum,Processado,Bellum,Lambe Sedah,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d812,aceitar,Nordeste Faz Amor,Concluido,Worker-Bellum,Processado,Bellum,Nordeste Jebcruzado,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d813,aceitar,Carnack kin,Concluido,Worker-Bellum,Processado,Bellum,sub comander,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d814,aceitar,Thiaguinho Da Audi,Concluido,Worker-Bellum,Processado,Bellum,Thiaguinho Troca Soco,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d815,aceitar,Fohuke On Spectrunn,Concluido,Worker-Bellum,Processado,Bellum,Fohuke On Belaria,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d816,aceitar,Dgreturn Bellum,Concluido,Worker-Bellum,Processado,Bellum,Dg Return,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d817,aceitar,Holyyzera Paralyzer,Concluido,Worker-Bellum,Processado,Bellum,Holyzera Destroyer,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d818,aceitar,Alemao Hunted,Concluido,Worker-Bellum,Processado,Bellum,Bow Sonaro,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d819,aceitar,Gpsorce,Concluido,Worker-Bellum,Processado,Bellum,Paulin Fucklove,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d820,aceitar,Alabasto,Concluido,Worker-Bellum,Processado,Bellum,Banzay Mage,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d821,aceitar,Mata Frangos,Concluido,Worker-Bellum,Processado,Bellum,Banzay Mage,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d822,aceitar,Spectrum Patroono,Concluido,Worker-Bellum,Processado,Bellum,Banzay Mage,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d823,aceitar,Vermifugo,Concluido,Worker-Bellum,Processado,Bellum,Token black,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d824,aceitar,Tilimboco,Concluido,Worker-Bellum,Processado,Bellum,Heyhugo,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d1665,invite,Nya Fullbombxd,Concluido,Worker-Auroria,Processado,Auroria,Bullseyesz Nikity,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d826,aceitar,Dezpraseis,Concluido,Worker-Bellum,Processado,Bellum,Dark Vil,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d827,aceitar,Comedor de Katamesas,Concluido,Worker-Bellum,Processado,Bellum,Master Katalata,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d828,aceitar,Fabrikmutter,Concluido,Worker-Bellum,Processado,Bellum,Radityz,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d829,aceitar,Catarina defender,Concluido,Worker-Bellum,Processado,Bellum,Ekbomb Catarina,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d1666,invite,Soo Zabimaru,Concluido,Worker-Auroria,Processado,Auroria,Bullseyesz Nikity,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d831,aceitar,Rexona on belum,Concluido,Worker-Bellum,Processado,Bellum,Rickzinn Darkside,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d1667,invite,mi moonberry,Concluido,Worker-Auroria,Processado,Auroria,Toka terror,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d833,aceitar,Bielovski,Concluido,Worker-Bellum,Processado,Bellum,Leirbag On Tenebrium,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d834,aceitar,Icetabaco,Concluido,Worker-Bellum,Processado,Bellum,Leirbag On Tenebrium,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d835,aceitar,Zuadiinhoo,Concluido,Worker-Bellum,Processado,Bellum,Cagueta,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d836,aceitar,Foguete,Concluido,Worker-Bellum,Processado,Bellum,King Nunoxx,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d837,aceitar,Malbek,Concluido,Worker-Bellum,Processado,Bellum,Amoraa Rp,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d838,aceitar,Tunadinho,Concluido,Worker-Bellum,Processado,Bellum,Tunado,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d839,aceitar,Moscou Morreu dnv,Concluido,Worker-Bellum,Processado,Bellum,Rpzao do Rajadao,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d840,aceitar,Fohuke On Spectrum,Concluido,Worker-Bellum,Processado,Bellum,Fohuke On Belaria,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d841,aceitar,Curucolos,Concluido,Worker-Bellum,Processado,Bellum,Michuru,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d842,aceitar,Curinga Mexicano ,Concluido,Worker-Bellum,Processado,Bellum,Wero Leyenda ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d843,aceitar,Zigger Imundice ,Concluido,Worker-Bellum,Processado,Bellum,Wero Leyenda ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d844,aceitar,Dutra Matacoitado,Concluido,Worker-Bellum,Processado,Bellum,Dutrazs,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d845,aceitar,Baja Mira,Concluido,Worker-Bellum,Processado,Bellum,outlaw strike,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d1668,invite,Elder Panxor,Concluido,Worker-Auroria,Processado,Auroria,Elder Panxor,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d847,aceitar,Shadow druid,Concluido,Worker-Bellum,Processado,Bellum,Robertin Forever Neverlight ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d848,aceitar,Notthingszter ,Concluido,Worker-Bellum,Processado,Bellum,Notthingszter ,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d849,aceitar,Cuuringaa,Concluido,Worker-Bellum,Processado,Bellum,Cure bosk,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d850,aceitar,Kina Dojob,Concluido,Worker-Bellum,Processado,Bellum,Saboor Paladiin,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d851,aceitar,Last ralws,Concluido,Worker-Bellum,Processado,Bellum,Boomy,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d852,aceitar,No Hay Plat,Concluido,Worker-Bellum,Processado,Bellum,Jjaquerisa ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d853,aceitar,Jeferson Caminhoes,Concluido,Worker-Bellum,Processado,Bellum,fearful avoid,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d854,aceitar,Arturowk,Concluido,Worker-Bellum,Processado,Bellum,Dinhowz,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d1765,invite,The Lloyd,Concluido,Worker-Auroria,Processado,Auroria,Galego Bahia,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d856,aceitar,Muajajas,Concluido,Worker-Bellum,Processado,Bellum,Muajajaa,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d857,aceitar,Luan Ascended Bellum,Concluido,Worker-Bellum,Processado,Bellum,Gaahz,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d858,aceitar,Drakon Archer,Concluido,Worker-Bellum,Processado,Bellum,Ciphra,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d859,aceitar,Analista Senior Treinamento,Concluido,Worker-Bellum,Processado,Bellum,Thank God,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d860,aceitar,Keven here,Concluido,Worker-Bellum,Processado,Bellum,Falckz,Falckz
82b9ed76-6f14-4b73-95ac-db23167127d861,aceitar,Curucolos,Concluido,Worker-Bellum,Processado,Bellum,Michuru,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d862,aceitar,Curinga Mexicano ,Concluido,Worker-Bellum,Processado,Bellum,Wero Leyenda ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d863,aceitar,Zigger Imundice ,Concluido,Worker-Bellum,Processado,Bellum,Wero Leyenda ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d864,aceitar,Dutra Matacoitado,Concluido,Worker-Bellum,Processado,Bellum,Dutrazs,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d865,aceitar,Baja Mira,Concluido,Worker-Bellum,Processado,Bellum,outlaw strike,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d866,aceitar,Bomba Do Coffessz,Concluido,Worker-Bellum,Processado,Bellum,Super Coffeesz,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d867,aceitar,Shadow druid,Concluido,Worker-Bellum,Processado,Bellum,Robertin Forever Neverlight ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d868,aceitar,Notthingszter ,Concluido,Worker-Bellum,Processado,Bellum,Notthingszter ,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d869,aceitar,Cuuringaa,Concluido,Worker-Bellum,Processado,Bellum,Cure bosk,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d870,aceitar,Kina Dojob,Concluido,Worker-Bellum,Processado,Bellum,Saboor Paladiin,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d871,aceitar,Last ralws,Concluido,Worker-Bellum,Processado,Bellum,Boomy,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d872,aceitar,No Hay Plat,Concluido,Worker-Bellum,Processado,Bellum,Jjaquerisa ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d873,aceitar,Jeferson Caminhoes,Concluido,Worker-Bellum,Processado,Bellum,fearful avoid,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d874,aceitar,Arturowk,Concluido,Worker-Bellum,Processado,Bellum,Dinhowz,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d1766,invite,Fantasy Mata Rindo,Concluido,Worker-Auroria,Processado,Auroria,Authorized To Kill,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d876,aceitar,Muajajas,Concluido,Worker-Bellum,Processado,Bellum,Muajajaa,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d877,aceitar,Luan Ascended Bellum,Concluido,Worker-Bellum,Processado,Bellum,Gaahz,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d1770,invite,Valterinoo Bomb,Concluido,Worker-Auroria,Processado,Auroria,Baphomet Blessings,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d879,aceitar,Analista Senior Treinamento,Concluido,Worker-Bellum,Processado,Bellum,Thank God,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d880,aceitar,Titovisck,Concluido,Worker-Bellum,Processado,Bellum,Mika Megazord,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d881,aceitar,Rp Do Dende,Concluido,Worker-Bellum,Processado,Bellum,Black Rabbith,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d882,aceitar,Rp Do Dende,Concluido,Worker-Bellum,Processado,Bellum,Black Rabbith,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d883,aceitar,Inconveniente,Concluido,Worker-Bellum,Processado,Bellum,Black Rabbith,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d884,aceitar,Leobel,Concluido,Worker-Bellum,Processado,Bellum,Leodois,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d885,aceitar,Gandalf Aayron,Concluido,Worker-Bellum,Processado,Bellum,Dragomazze ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d886,aceitar,Papador de Papa Mike,Concluido,Worker-Bellum,Processado,Bellum,Papador de Papa Mike,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d887,aceitar,Rae Sremmurd,Concluido,Worker-Bellum,Processado,Bellum,sol cruel,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d888,aceitar,No Hay Plat,Concluido,Worker-Bellum,Processado,Bellum,Jjaquerisa ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d889,aceitar,Robertin Bellum,Concluido,Worker-Bellum,Processado,Bellum,Robertin mata otaku,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d890,aceitar,Pusch On Bellum,Concluido,Worker-Bellum,Processado,Bellum,Augusto Pusch,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d891,aceitar,Comedor de Katamesas,Concluido,Worker-Bellum,Processado,Bellum,Master Katalata,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d1775,invite,Evil on auroria ,Concluido,Worker-Auroria,Processado,Auroria,Evil on auroria ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d893,aceitar,Meaplicaram Resenha,Concluido,Worker-Bellum,Processado,Bellum,Apolo Pally,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d894,aceitar,Robertin Bellum,Concluido,Worker-Bellum,Processado,Bellum,ROBERTIN MATA OTAKU,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d895,aceitar,Comedor de Katamesas,Concluido,Worker-Bellum,Processado,Bellum,Master Katalata,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d896,aceitar,Nazz Costura,Concluido,Worker-Bellum,Processado,Bellum,Dark Spectral,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d897,aceitar,Felipin Do Macete,Concluido,Worker-Bellum,Processado,Bellum,Dark Spectral,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d898,aceitar,Rhaz alghul,Concluido,Worker-Bellum,Processado,Bellum,Dreizao Holyarrow,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d899,aceitar,Oi enteado,Concluido,Worker-Bellum,Processado,Bellum,Full melt,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d900,aceitar,Dohaeras Vany,Concluido,Worker-Bellum,Processado,Bellum,Dohaeras Vany,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d901,aceitar,Cachorro On Spectrum,Concluido,Worker-Bellum,Processado,Bellum,Cachorro on Vesperia,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d902,aceitar,Pijolioo,Concluido,Worker-Bellum,Processado,Bellum,Pijolito,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d903,aceitar,Big Jane,Concluido,Worker-Bellum,Processado,Bellum,Puff Pass,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d904,aceitar,Billy Kid Careca Jack,Concluido,Worker-Bellum,Processado,Bellum,Emythe Zeronov,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d1776,invite,Slim shady careca,Concluido,Worker-Auroria,Processado,Auroria,Evil on auroria ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d906,aceitar,Chiikeen Kush,Concluido,Worker-Bellum,Processado,Bellum,Silveer,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d907,aceitar,Giusts,Concluido,Worker-Bellum,Processado,Bellum,Delanay gzz,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d1777,invite,Evil on spectrum,Concluido,Worker-Auroria,Processado,Auroria,Evil on auroria ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d909,aceitar,Sheldoon,Concluido,Worker-Bellum,Processado,Bellum,Slash Traidor,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d910,aceitar,Jack Sucuri,Concluido,Worker-Bellum,Processado,Bellum,Sonhatore,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d911,aceitar,Jack Sucuri,Concluido,Worker-Bellum,Processado,Bellum,Sonhatore,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d912,aceitar,Chup Cabraa,Concluido,Worker-Bellum,Processado,Bellum,Belarianesca,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d913,aceitar,Chioe,Concluido,Worker-Bellum,Processado,Bellum,Yiin,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d914,aceitar,Chioe,Concluido,Worker-Bellum,Processado,Bellum,Yiin,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d915,aceitar,Cochi ed,Concluido,Worker-Bellum,Processado,Bellum,Purjm,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d916,aceitar,Fujinami,Concluido,Worker-Bellum,Processado,Bellum,Leoncoelyonco,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d917,aceitar,Duzeek Bombed,Concluido,Worker-Bellum,Processado,Bellum,Duuzek,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d918,aceitar,Jowjow Palito,Concluido,Worker-Bellum,Processado,Bellum,Doraemond,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d919,aceitar,Cafferino,Concluido,Worker-Bellum,Processado,Bellum,Hax Rajadao,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d920,aceitar,Psilocibino,Concluido,Worker-Bellum,Processado,Bellum,Sildekiinhow,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d921,aceitar,Alhulhu,Concluido,Worker-Bellum,Processado,Bellum,Joaoziinhow,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d1778,invite,Kranesh,Concluido,Worker-Auroria,Processado,Auroria,Evil on auroria ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d923,aceitar,Biszk,Concluido,Worker-Bellum,Processado,Bellum,King pingola shellpatrocina,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d924,aceitar,Kiing Seeker,Concluido,Worker-Bellum,Processado,Bellum,Dileco on Vesperia,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d1787,invite,Calma Aioria,Concluido,Worker-Auroria,Processado,Auroria,Calma Por Favor,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d926,aceitar,Essede Notoba,Concluido,Worker-Bellum,Processado,Bellum,Assassin Starc,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d927,aceitar,Conradao Do Ot,Concluido,Worker-Bellum,Processado,Bellum,Guizao sereno ,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d928,aceitar,Hoopsone,Concluido,Worker-Bellum,Processado,Bellum,Conradao Do Ot,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d929,aceitar,Haaxii on Rubinot,Concluido,Worker-Bellum,Processado,Bellum,Imthz,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d1790,invite,Assukah corredorzinho,Concluido,Worker-Auroria,Processado,Auroria,Marechal Gustavo ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d931,aceitar,Apedrejador,Concluido,Worker-Bellum,Processado,Bellum,Vesperia,Marleitinho
