KEY ÚNICA,Sistema,Char,Status,Worker,Status,Servidor,Mainchar:,Servidor do main:
82b9ed76-6f14-4b73-95ac-db23167127d415,aceitar,Werse,Concluido,Worker-Auroria,Processado,Auroria,Juny Mosken,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d416,aceitar,Askaroth,Concluido,Worker-Auroria,Processado,Auroria,Akaroth,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d417,aceitar,Puff Pass,Concluido,Worker-Auroria,Processado,Auroria,Puff Pass,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d418,aceitar,Piter bruxo ,Concluido,Worker-Auroria,Processado,Auroria,Volcanic blaze ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d419,invite,Toddynho Shellpatrocina,Concluido,Worker-Auroria,Processado,Auroria,Toddynho Shellpatrocina,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d420,invite,Lionelsion,Concluido,Worker-Auroria,Processado,Auroria,Lionelsion,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d421,aceitar,Maguz,Concluido,Worker-Auroria,Processado,Auroria,Maguz,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d422,aceitar,Jaiminho On Runbinot,Concluido,Worker-Auroria,Processado,Auroria,Jaiminho On Runbinot,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d423,aceitar,Rafa Sd Ignorante,Concluido,Worker-Auroria,Processado,Auroria,Hernia de disk,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d424,aceitar,Dorde Xibiu,Concluido,Worker-Auroria,Processado,Auroria,Vando abc,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d425,aceitar,Knight de Menta,Concluido,Worker-Auroria,Processado,Auroria,Auroria,Vinizsz
82b9ed76-6f14-4b73-95ac-db23167127d426,aceitar,Sdnotres,Concluido,Worker-Auroria,Processado,Auroria,Gabe the Ruinwalker,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d427,invite,Gwendyz,Concluido,Worker-Auroria,Processado,Auroria,Howl Starborn,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d428,aceitar,Chemist,Concluido,Worker-Auroria,Processado,Auroria,Nofa druid,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d429,aceitar,Potoko,Concluido,Worker-Auroria,Processado,Auroria,Rhaenyraa Targaryenn,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d430,aceitar,Werse,Concluido,Worker-Auroria,Processado,Auroria,Juny Mosken,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d431,aceitar,Askaroth,Concluido,Worker-Auroria,Processado,Auroria,Akaroth,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d432,aceitar,Puff Pass,Concluido,Worker-Auroria,Processado,Auroria,Puff Pass,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d433,aceitar,Piter bruxo ,Concluido,Worker-Auroria,Processado,Auroria,Volcanic blaze ,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d434,invite,Toddynho Shellpatrocina,Concluido,Worker-Auroria,Processado,Auroria,Toddynho Shellpatrocina,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d435,aceitar,Lionelsion,Concluido,Worker-Auroria,Processado,Auroria,Lionelsion,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d436,aceitar,Maguz,Concluido,Worker-Auroria,Processado,Auroria,Maguz,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d437,aceitar,Jaiminho On Runbinot,Concluido,Worker-Auroria,Processado,Auroria,Jaiminho On Runbinot,Bellum
